Latitude,Longitude,TestInfo
39.3377725,-76.55231061,test
39.33894371,-76.53997352,test
39.33894371,-76.53997352,test
39.33894371,-76.53997352,test
39.34438062,-76.54251423,test
39.34438062,-76.54251423,test
39.33136062,-76.56112439,test
39.33706509,-76.57465706,test
39.34126171,-76.57135521,test
39.34670651,-76.56631466,test
39.35041958,-76.55551326,test
39.3377725,-76.55231061,test
39.35148857,-76.54291813,test
39.35148857,-76.54291813,test
39.36177794,-76.55341007,test
39.35843109,-76.53338202,test
39.36582852,-76.5406678,test
39.36689024,-76.55886785,test
39.35899346,-76.5581601,test
39.36629856,-76.57108553,test
39.34903865,-76.56975787,test
39.34903865,-76.56975787,test
39.34126171,-76.57135521,test
39.3626919,-76.58394427,test
39.3626919,-76.58394427,test
39.35220723,-76.59026697,test
39.35220723,-76.59026697,test
39.35220723,-76.59026697,test
39.34527078,-76.59200731,test
39.34511862,-76.59247515,test
39.34511862,-76.59247515,test
39.35477029,-76.60227123,test
39.35477029,-76.60227123,test
39.35220723,-76.59026697,test
39.36574868,-76.5919323,test
39.36613555,-76.59852156,test
39.36036183,-76.6099226,test
39.35632694,-76.60415303,test
39.34902435,-76.60031282,test
39.34405694,-76.60968189,test
39.34405694,-76.60968189,test
39.35334922,-76.60992259,test
39.35710842,-76.61001565,test
39.36049533,-76.62465226,test
39.36049533,-76.62465226,test
39.36810804,-76.6343466,test
39.34511618,-76.6409427,test
39.35665364,-76.63462232,test
39.34759862,-76.63610025,test
39.34502321,-76.62752426,test
39.34033263,-76.6419854,test
39.34841496,-76.65814391,test
39.36783051,-76.65370273,test
39.35831836,-76.67103259,test
39.35347447,-76.66471814,test
39.34783562,-76.66869178,test
39.34498647,-76.66273013,test
39.34656474,-76.67279609,test
39.34253871,-76.68040724,test
39.34533659,-76.68151474,test
39.34533659,-76.68151474,test
39.34783562,-76.66869178,test
39.36478154,-76.70291855,test
39.36227031,-76.68662816,test
39.36168655,-76.67712533,test
39.36227031,-76.68662816,test
39.36478154,-76.70291855,test
39.36304725,-76.70496644,test
